,ID,Name,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
jgf12345,4567890,"Flower, John Gregg",john.g.2.flower@univ.edu,3,Gregg,Flower,69.0,80,52,80,64,80,75,100,61,70,83,90,41,50,43,70,42,60,40,60,0.72,100,0.83,100,0.77,100,8,8,8,13,5,0.7702702702702703,0.7657103174603176,0.7702702702702703,0.6086956521739131,0.6152864782276548,0.6152864782276548,0.7271940515764046,73.0,C
axf16145,2574682,"Foster, Ashlee",ashlee.foster@univ.edu,3,Ashlee,Foster,79.0,80,78,80,74,80,81,100,63,70,75,90,38,50,45,70,41,60,43,60,0.73,100,0.61,100,0.74,100,5,12,17,14,12,0.8337837837837838,0.8233690476190476,0.8337837837837838,0.8695652173913043,0.850909090909091,0.8695652173913043,0.8028830787309049,81.0,B
llf55044,5630129,"Friedman, Linda Lance",linda.friedman@univ.edu,3,Linda,Friedman,49.0,80,70,80,62,80,83,100,58,70,79,90,42,50,60,70,54,60,42,60,0.64,100,0.86,100,0.7,100,10,9,8,5,8,0.8094594594594594,0.8095992063492063,0.8095992063492063,0.5797101449275363,0.6006977336389101,0.6006977336389101,0.7270490026313556,73.0,C
abg77872,1829060,"Greer, April Blake",april.greer@univ.edu,3,April,Greer,61.0,80,62,80,67,80,65,100,58,70,68,90,30,50,46,70,60,60,36,60,0.74,100,0.71,100,0.94,100,8,11,13,13,12,0.7472972972972973,0.7466269841269841,0.7472972972972973,0.8260869565217391,0.830776674306086,0.830776674306086,0.7971519212107447,80.0,B
dxj78877,3774708,"Johnson, Dylan",dylan.johnson@univ.edu,3,Dylan,Johnson,61.0,80,48,80,59,80,71,100,42,70,75,90,50,50,49,70,36,60,50,60,0.72,100,0.64,100,0.99,100,6,9,15,5,10,0.731081081081081,0.7376666666666666,0.7376666666666666,0.6521739130434783,0.6436567354214413,0.6521739130434783,0.7392188405797102,74.0,C
pmj37756,5227994,"Johnson, Paul Mark",paul.johnson@univ.edu,3,Paul,Johnson,73.0,80,50,80,55,80,65,100,47,70,76,90,32,50,55,70,40,60,51,60,0.84,100,0.8,100,0.94,100,10,14,9,11,10,0.7351351351351352,0.7333253968253968,0.7351351351351352,0.782608695652174,0.7981767252355487,0.7981767252355487,0.7965070716247187,80.0,B
rsj94156,9184901,"Johnston, Robert Stephanie",robert.johnston@univ.edu,3,Robert,Johnston,74.0,80,64,80,64,80,76,100,64,70,56,90,32,50,46,70,43,60,43,60,0.98,100,0.61,100,0.74,100,9,12,13,10,5,0.7594594594594595,0.7551984126984127,0.7594594594594595,0.7101449275362319,0.702768016297428,0.7101449275362319,0.7378272620446533,74.0,C
sxj49423,4587323,"Jones, Sarah",sarah.jones@univ.edu,3,Sarah,Jones,62.0,80,49,80,55,80,80,100,49,70,71,90,37,50,60,70,36,60,37,60,0.89,100,0.68,100,0.94,100,9,15,15,14,12,0.7243243243243244,0.7177698412698412,0.7243243243243244,0.9420289855072463,0.9401069518716578,0.9420289855072463,0.8258384253819037,83.0,B
dsl24347,9804556,"Lee, Danielle Stephanie",danielle.lee@univ.edu,3,Danielle,Lee,69.0,80,51,80,70,80,96,100,51,70,77,90,37,50,52,70,49,60,57,60,0.62,100,0.7,100,0.9,100,7,14,10,5,7,0.822972972972973,0.8168650793650792,0.822972972972973,0.6231884057971014,0.6196816908581615,0.6231884057971014,0.7521457109283196,76.0,C
tgl37922,9177842,"Leon, Tammy Gregory",tammy.leon@univ.edu,3,Tammy,Leon,63.0,80,75,80,63,80,70,100,64,70,87,90,33,50,55,70,47,60,42,60,0.88,100,0.9,100,0.87,100,4,14,17,6,4,0.8094594594594594,0.8022500000000001,0.8094594594594594,0.6521739130434783,0.6117748917748917,0.6521739130434783,0.7839359576968273,79.0,C
kxm62826,2858583,"Mccall, Kimberly",kimberly.mccall@univ.edu,3,Kimberly,Mccall,61.0,80,53,80,79,80,95,100,44,70,87,90,36,50,48,70,60,60,57,60,0.79,100,0.98,100,0.6,100,11,15,10,12,4,0.8378378378378378,0.8313452380952381,0.8378378378378378,0.7536231884057971,0.7557422969187676,0.7557422969187676,0.7893578242107654,79.0,C
axm26865,2260221,"Miller, Anthony",anthony.miller@univ.edu,3,Anthony,Miller,77.0,80,53,80,65,80,74,100,66,70,78,90,30,50,55,70,53,60,41,60,0.73,100,0.68,100,0.93,100,9,8,13,7,12,0.8,0.7939404761904763,0.8,0.7101449275362319,0.7232442067736186,0.7232442067736186,0.7809732620320856,79.0,C
bxm17365,2489309,"Miranda, Brett",brett.miranda@univ.edu,3,Brett,Miranda,74.0,80,63,80,53,80,71,100,61,70,62,90,43,50,51,70,54,60,51,60,0.82,100,0.94,100,0.95,100,11,9,15,11,8,0.7878378378378378,0.7983888888888889,0.7983888888888889,0.782608695652174,0.7869467787114846,0.7869467787114846,0.8329395891690009,84.0,B
njp08545,7378241,"Patterson, Nicole Jennifer",nicole.patterson@univ.edu,3,Nicole,Patterson,66.0,80,66,80,55,80,89,100,49,70,83,90,48,50,59,70,37,60,53,60,0.96,100,0.91,100,0.95,100,6,14,10,13,10,0.8175675675675675,0.8152579365079365,0.8175675675675675,0.7681159420289855,0.7657855869620576,0.7681159420289855,0.8389618096357226,84.0,B
jxp06435,9975979,"Perez, Jeffrey",jeffrey.perez@univ.edu,3,Jeffrey,Perez,50.0,80,56,80,50,80,100,100,53,70,86,90,41,50,58,70,44,60,51,60,0.67,100,0.81,100,0.95,100,4,7,12,12,9,0.7959459459459459,0.7894603174603174,0.7959459459459459,0.6376811594202898,0.6286656480774128,0.6376811594202898,0.7666827262044653,77.0,C
mxp86000,3042477,"Poole, Melissa",melissa.poole@univ.edu,3,Melissa,Poole,62.0,80,70,80,70,80,73,100,54,70,82,90,43,50,65,70,54,60,51,60,0.88,100,0.97,100,0.83,100,9,7,17,12,5,0.8432432432432433,0.8476111111111113,0.8476111111111113,0.7246376811594203,0.7117316017316018,0.7246376811594203,0.8219357487922707,83.0,B
rxp56459,6097881,"Price, Ricardo",ricardo.price@univ.edu,3,Ricardo,Price,77.0,80,74,80,67,80,67,100,67,70,58,90,41,50,60,70,38,60,55,60,0.68,100,0.92,100,0.75,100,10,12,8,14,12,0.8162162162162162,0.8223730158730158,0.8223730158730158,0.8115942028985508,0.8359358288770053,0.8359358288770053,0.8182299550123079,82.0,B
txr84689,3711195,"Ramirez, Timothy",timothy.ramirez@univ.edu,3,Timothy,Ramirez,72.0,80,73,80,65,80,73,100,49,70,79,90,49,50,57,70,54,60,51,60,0.84,100,0.69,100,0.87,100,4,8,13,6,4,0.8405405405405405,0.8477063492063494,0.8477063492063494,0.5072463768115942,0.48471606824547997,0.5072463768115942,0.732756452726018,74.0,C
tbr17292,6506766,"Raymond, Troy Bryan",troy.raymond@univ.edu,3,Troy,Raymond,50.0,80,59,80,79,80,98,100,65,70,68,90,44,50,66,70,45,60,49,60,0.91,100,0.67,100,1.0,100,7,7,14,7,5,0.8418918918918918,0.8403650793650794,0.8418918918918918,0.5797101449275363,0.5686452762923351,0.5797101449275363,0.7731698002350176,78.0,C
lcr30757,1397380,"Reid, Laura Clarence",laura.reid@univ.edu,3,Laura,Reid,51.0,80,75,80,48,80,62,100,42,70,54,90,32,50,61,70,49,60,46,60,0.64,100,0.86,100,0.86,100,4,13,10,8,12,0.7027027027027027,0.7089761904761904,0.7089761904761904,0.6811594202898551,0.6779933791698498,0.6811594202898551,0.7349383022774327,74.0,C
cxr98775,3049287,"Reyes, Carol",carol.reyes@univ.edu,3,Carol,Reyes,75.0,80,80,80,66,80,62,100,60,70,66,90,37,50,65,70,44,60,51,60,0.99,100,0.91,100,0.9,100,5,15,8,14,6,0.8189189189189189,0.8224880952380953,0.8224880952380953,0.6956521739130435,0.6850267379679145,0.6956521739130435,0.8131908902691511,82.0,B
jxr10806,3330029,"Reyes, Jason",jason.reyes@univ.edu,3,Jason,Reyes,67.0,80,66,80,65,80,68,100,57,70,70,90,34,50,64,70,57,60,44,60,0.7,100,0.81,100,0.86,100,9,13,13,6,4,0.8,0.8024682539682539,0.8024682539682539,0.6521739130434783,0.6422918258212376,0.6521739130434783,0.761639475500345,77.0,C
kpr82051,1061475,"Rhodes, Kimberly Peter",kimberly.rhodes@univ.edu,3,Kimberly,Rhodes,60.0,80,61,80,60,80,79,100,42,70,86,90,34,50,48,70,48,60,47,60,0.61,100,0.62,100,0.97,100,9,13,16,12,6,0.7635135135135135,0.7557103174603175,0.7635135135135135,0.8115942028985508,0.7966335625159154,0.8115942028985508,0.7868836662749706,79.0,C
jsr21334,9326195,"Rodriguez, John Sandra",john.rodriguez@univ.edu,3,John,Rodriguez,78.0,80,76,80,63,80,61,100,52,70,61,90,41,50,55,70,37,60,60,60,0.92,100,0.68,100,0.89,100,6,12,12,11,7,0.7891891891891892,0.7965515873015873,0.7965515873015873,0.6956521739130435,0.6840769034886682,0.6956521739130435,0.774816287094548,78.0,C
sxs30610,3215879,"Sampson, Stephanie",stephanie.sampson@univ.edu,3,Stephanie,Sampson,77.0,80,50,80,57,80,81,100,69,70,84,90,39,50,54,70,46,60,59,60,0.87,100,1.0,100,0.75,100,10,10,6,12,4,0.8324324324324325,0.833047619047619,0.833047619047619,0.6086956521739131,0.6238349885408709,0.6238349885408709,0.7763695441813089,78.0,C
fxs77894,1905666,"Simpson, Felicia",felicia.simpson@univ.edu,3,Felicia,Simpson,59.0,80,66,80,77,80,73,100,60,70,90,90,36,50,63,70,53,60,41,60,0.63,100,0.9,100,0.99,100,11,7,13,9,12,0.8351351351351352,0.8298809523809524,0.8351351351351352,0.7536231884057971,0.7748459383753501,0.7748459383753501,0.8365078355666591,84.0,B
cjs43553,3830106,"Smith, Crystal Jason",crystal.smith@univ.edu,3,Crystal,Smith,63.0,80,80,80,59,80,90,100,48,70,66,90,48,50,64,70,52,60,58,60,0.85,100,0.88,100,0.6,100,6,14,8,14,5,0.8486486486486486,0.8551666666666667,0.8551666666666667,0.6811594202898551,0.6732085561497325,0.6811594202898551,0.7669144927536233,77.0,C
ajt73762,7331066,"Terry, Amy Justin",amy.terry@univ.edu,3,Amy,Terry,71.0,80,54,80,76,80,93,100,43,70,89,90,30,50,58,70,54,60,49,60,0.6,100,0.81,100,0.79,100,4,12,9,5,7,0.8337837837837838,0.8190912698412699,0.8337837837837838,0.5362318840579711,0.5267048637636873,0.5362318840579711,0.7238830787309048,73.0,C
bxt62105,9496845,"Thomas, Brandon",brandon.thomas@univ.edu,3,Brandon,Thomas,80.0,80,49,80,53,80,77,100,46,70,86,90,33,50,53,70,37,60,51,60,0.86,100,0.72,100,0.65,100,7,10,13,8,4,0.7635135135135135,0.7541507936507935,0.7635135135135135,0.6086956521739131,0.5944996180290297,0.6086956521739131,0.7005141010575793,71.0,C
hxw92728,8037797,"Webb, Heather",heather.webb@univ.edu,3,Heather,Webb,56.0,80,48,80,60,80,60,100,47,70,84,90,35,50,45,70,44,60,40,60,1.0,100,0.61,100,0.62,100,5,11,16,9,4,0.7013513513513514,0.6997619047619048,0.7013513513513514,0.6521739130434783,0.6210491469314998,0.6521739130434783,0.6801927144535841,69.0,D
alw07647,6972487,"White, Amy Leslie",amy.white@univ.edu,3,Amy,White,71.0,80,60,80,72,80,95,100,64,70,87,90,40,50,43,70,47,60,41,60,0.99,100,0.95,100,0.99,100,7,14,15,11,4,0.8378378378378378,0.8249404761904762,0.8378378378378378,0.7391304347826086,0.7142195059842119,0.7391304347826086,0.8498742655699177,85.0,B
lkw48972,7543126,"Wilkerson, Levi Kayla",levi.wilkerson@univ.edu,3,Levi,Wilkerson,52.0,80,80,80,75,80,62,100,43,70,70,90,33,50,42,70,38,60,42,60,0.71,100,0.96,100,0.93,100,11,13,8,14,12,0.7256756756756757,0.7192896825396825,0.7256756756756757,0.8405797101449275,0.867450980392157,0.867450980392157,0.8215055643879173,83.0,B
